ds,y,precio,opu,feriados,cyber,mobility,oil_price,copper_price,perc_zero_stock
2020-01-13,14154,22735.6209,0.137931034,0,0,0.0,58.40833333,2.898666667,0.08106409
2020-01-20,11504,25330.17764,0.137931034,0,0,0.0,56.718,2.8073,0.055918094
2020-01-27,0,26016.26202,0.137931034,0,0,0.0,52.73,2.6188,0.019411347
2020-02-03,13842,25606.56556,0.137931034,0,0,0.0,50.348,2.6356,0.016291854
2020-02-10,11964,25816.23508,0.0,0,0,2.369127517,51.085,2.659416667,0.026236882
2020-02-17,12216,25776.09896,0.0,0,0,-0.992565056,52.94,2.6683,0.012872874
2020-02-24,10642,26062.6942,0.0,0,0,3.051823417,48.382,2.6351,0.010494753
2020-03-02,11172,25792.90958,0.0,0,0,2.368421053,45.578,2.6433,0.013493253
2020-03-09,9354,25976.29749,0.0,0,0,-6.791578947,32.34,2.5569,0.013118441
2020-03-16,5314,25647.47573,0.0,0,0,-48.32368897,24.734,2.3144,0.010494753
2020-03-23,4016,26111.55527,0.0,0,0,-66.7920434,23.194,2.2351,0.010494753
2020-03-30,4404,26133.39366,0.0,0,0,-64.56781193,22.908,2.2624,0.002298851
2020-04-06,3732,26270.213,0.0,3,0,-68.99819168,24.39,2.3192,0.002298851
2020-04-13,6316,24120.86329,0.724137931,0,0,-63.6569873,20.106,2.3999,0.015171724
2020-04-20,8814,23494.92248,0.724137931,1,0,-62.27041742,3.92,2.399,0.035730437
2020-04-27,6852,24435.52499,0.724137931,1,0,-61.34664247,15.76,2.4205,0.106725947
2020-05-04,6292,24569.05805,0.724137931,0,0,-56.20433996,23.446,2.4434,0.222224848
2020-05-11,8278,24899.31948,0.724137931,0,0,-61.92558984,26.44,2.4441,0.176755957
2020-05-18,13284,24436.62284,0.724137931,1,0,-65.67811935,32.98,2.491833333,0.063947337
2020-05-25,14532,24501.98733,0.724137931,0,0,-61.84754991,34.056,2.4866,0.069798434
2020-06-01,15212,24477.01894,0.724137931,1,0,-60.8384755,37.3,2.5857,0.045113896
2020-06-08,21144,24069.08699,0.724137931,0,0,-61.96370236,37.866,2.6905,0.02204612
2020-06-15,21736,24200.79115,0.724137931,0,0,-63.85714286,38.41,2.6859,0.027329193
2020-06-22,12456,26295.14688,0.724137931,0,0,-66.20508167,39.21,2.7443,0.038494349
2020-06-29,13466,27311.80357,0.0,1,0,-66.24231465,39.944,2.7767,0.033333333
2020-07-06,15222,26896.75088,0.0,0,0,-63.30560579,40.464,2.88,0.035383047
2020-07-13,15766,26912.49744,0.0,1,0,-64.79746835,40.586,2.9711,0.023973727
2020-07-20,15556,0.0,0.0,0,0,-62.49728752,41.406,2.9784,0.033004926
2020-07-27,20986,0.0,0.0,0,0,-59.66184448,40.82,2.9654,0.043707604
2020-08-03,29168,26910.32864,0.0,0,0,-57.920434,41.614,2.9653,0.049566842
2020-08-10,47912,27213.84145,0.0,1,0,-52.54068716,42.094,2.9402,0.126385822
2020-08-17,20724,37410.42649,0.0,0,0,-53.74559687,42.726,3.025,0.318209614
2020-08-24,7654,27615.37377,0.0,0,0,-52.9379845,43.074,3.0242,0.496546062
2020-08-31,8352,27273.37714,0.0,0,1,-50.60116732,41.12833333,3.071333333,0.587679067
2020-09-07,9354,26712.69916,0.0,0,0,-49.04519774,37.728,3.06604,0.602298851
2020-09-14,8294,27001.568,0.0,2,0,-57.49728752,39.556,3.099,0.584055263
2020-09-21,10262,29558.14115,0.0,0,0,-52.01446655,39.88,3.0182,0.557663779
2020-09-28,9824,28547.08743,0.0,0,0,-49.90777577,39.176,3.0021,0.59450201
2020-10-05,11138,28590.8408,0.0,0,0,-47.69077758,40.326,3.0501,0.551112621
2020-10-12,22018,28364.52924,0.0,1,0,-50.67811935,40.502,3.0933,0.402751826
2020-10-19,33772,27769.35195,0.0,1,0,-43.73960217,40.562,3.1547,0.279310345
2020-10-26,29654,28092.39145,0.0,2,0,-43.44122966,37.496,3.0943,0.293312949
2020-11-02,31460,43197.85992,0.0,0,1,-39.48282098,37.91,3.1287,0.243695148
2020-11-09,33422,28043.43321,0.0,0,0,-39.40687161,40.87,3.18,0.245965687
2020-11-16,37352,27952.49599,0.0,0,0,-39.1084991,41.696,3.2528,0.241135836
2020-11-23,34952,28053.69822,0.0,0,0,-39.78481013,44.838,3.34656,0.246701772
2020-11-30,42092,28190.88896,0.0,0,0,-32.35443038,45.414,3.4883,0.285238661
2020-12-07,27482,28168.64418,0.0,1,0,-37.93851718,46.046,3.5295,0.468450258
2020-12-14,48004,28083.52755,0.0,0,0,-28.13430127,47.978,3.5709,0.425032558
2020-12-21,21836,28040.53847,0.0,1,0,-36.90328467,47.7775,3.555,0.578319461
2020-12-28,9716,28814.34961,0.0,1,0,-42.96363636,48.135,3.5418,0.625100504
2021-01-04,3844,29832.35157,0.0,0,0,-36.51898734,50.25,3.6415,0.677979729
2021-01-11,2620,30485.1227,0.0,0,0,-41.74683544,52.75,3.598166667,0.741758677
2021-01-18,6164,29568.71732,0.0,0,0,-45.22242315,52.796,3.62056,0.701019195
2021-01-25,6302,30380.84931,0.0,0,0,-45.62206148,52.554,3.5693,0.698346639
2021-02-01,4742,31661.24444,0.0,0,0,-41.35443038,55.416,3.5344,0.718010502
2021-02-08,2270,31985.4218,0.0,0,0,-38.12477396,58.84833333,3.7088,0.734438941
2021-02-15,1574,31664.77848,0.0,0,0,-35.42753623,60.208,3.83126,0.780379222
2021-02-22,1348,35549.59013,0.0,0,0,-31.64791289,62.282,4.1233,0.786818987
2021-03-01,1204,37922.70594,0.0,0,0,-33.35507246,62.318,4.0455,0.728701226
2021-03-08,2554,33377.35752,0.0,0,0,-39.353902,65.026,4.0315,0.689625214
2021-03-15,19332,29657.32264,0.0,0,0,-43.70162749,63.242,4.0643,0.299962946
2021-03-22,15392,29918.22963,0.0,0,0,-55.09636364,60.004,4.0293,0.184703569
2021-03-29,13294,30889.13178,0.0,3,0,-58.80615942,60.68,3.973125,0.233992876
2021-04-05,10136,30774.90554,0.0,1,0,-56.89692586,59.334,4.0611,0.30744753
2021-04-12,16248,30468.14726,0.0,0,0,-57.25497288,61.924,4.0918,0.196623459
2021-04-19,21866,30400.88468,0.0,0,0,-54.56781193,62.148,4.2509,0.108114159
2021-04-26,26722,30092.8578,0.0,1,0,-50.89330922,63.46,4.4352,0.13278201
2021-05-03,31882,30331.39562,0.0,1,0,-40.02712477,65.084,4.5442,0.154526433
2021-05-10,31188,29981.37991,0.0,0,0,-39.96383363,65.094,4.693,0.13064996
2021-05-17,47856,29994.65729,0.0,1,0,-34.90398551,64.15,4.6093,0.161413799
2021-05-24,48284,29901.55301,0.0,0,0,-26.86594203,66.34833333,4.602366667,0.172556379
2021-05-31,50822,42281.4035,0.0,0,1,-26.67941712,68.388,4.5928,0.149388301
2021-06-07,40594,30459.54849,0.0,0,0,-32.66606171,70.088,4.5432,0.072394772
2021-06-14,48132,30332.8565,0.0,0,0,-36.11413043,71.566,4.335,0.070480244
2021-06-21,32462,30178.03335,0.0,1,0,-41.52079566,73.43,4.2678,0.037748558
2021-06-28,35746,30417.16936,0.724137931,2,0,-33.66847826,74.14833333,4.2608,0.026203422
2021-07-05,38968,29679.91904,0.724137931,0,0,-21.67513612,73.864,4.3,0.030881962
2021-07-12,34974,29581.73642,0.724137931,1,0,-20.64663024,73.188,4.2962,0.028480565
2021-07-19,36244,29576.78512,0.724137931,0,0,-11.44626594,69.624,4.2788,0.019892252
2021-07-26,33622,29456.60553,0.724137931,0,0,-11.33697632,72.704,4.4648,0.012925006
2021-08-02,34094,29916.81667,0.724137931,0,0,-5.85428051,69.468,4.3462,0.022579719
2021-08-09,32604,30332.91157,0.0,1,0,-10.37842779,68.31,4.3312,0.039380809
2021-08-16,32914,28359.77711,0.0,0,0,-15.89194139,65.07,4.1599,0.042160289
2021-08-23,31042,27304.71629,0.0,0,0,-12.99635701,67.54,4.255,0.048995945
2021-08-30,35086,28054.64182,0.724137931,0,0,-7.318600368,69.055,4.312,0.062491111
2021-09-06,31952,27877.72834,0.724137931,0,0,-6.552919708,68.862,4.3071,0.068943231
2021-09-13,18982,27887.79588,0.724137931,3,0,-21.96923077,71.62,4.3039,0.083351811
2021-09-20,33024,27777.67539,0.724137931,0,0,-8.729281768,72.072,4.1838,0.080643624
2021-09-27,20836,30263.08567,0.724137931,0,0,-5.611969112,75.296,4.1699,0.094824716
2021-10-04,15676,83953.86503,0.0,0,1,-0.921532847,78.326,4.1926,0.117843812
2021-10-11,23812,25661.94958,0.0,1,0,-6.540740741,81.038,4.4575,0.138698193
2021-10-18,28856,21114.37517,0.0,0,0,-6.755064457,83.106,4.5621,0.147911141
2021-10-25,25962,22049.67064,0.0,1,0,0.424354244,83.49,4.4041,0.147385373
2021-11-01,28180,22092.39543,0.0,1,0,-3.669104205,81.78,4.311,0.175459768
2021-11-08,24980,22211.47362,0.0,0,0,-0.276867031,81.96,4.3736,0.187308175
2021-11-15,20238,21523.16422,0.0,1,0,-4.892791128,79.022,4.341,0.190555988
2021-11-22,22788,22083.99487,0.0,0,0,-2.27706422,75.84,4.398,0.166816137
2021-11-29,27366,21881.37425,0.0,0,0,4.657509158,66.892,4.2767,0.122509804
2021-12-06,32222,21689.15818,0.0,1,0,8.281716418,71.302,4.3222,0.107129652
2021-12-13,28510,21593.76247,0.0,1,0,9.963436929,71.226,4.2559,0.121320189
2021-12-20,27624,23285.04543,0.0,1,0,5.193490054,71.475,4.3559,0.110899524
2021-12-27,15124,23790.39474,0.0,1,0,-7.067889908,76.062,4.4214,0.100192069
2022-01-03,27860,23315.34218,0.0,0,0,-0.834572491,77.856,4.4066,0.073933958
2022-01-10,18878,25227.80395,0.0,0,0,-3.201851852,81.97666667,4.457583333,0.069767597
2022-01-17,14748,29106.45081,0.0,0,0,-3.327205882,85.624,4.4796,0.074513238
2022-01-24,13738,30302.3698,0.0,0,0,-3.637707948,85.938,4.4233,0.085300555
2022-01-31,14474,30016.89552,0.0,0,0,-0.688888889,89.438,4.4406,0.067645882
2022-02-07,13312,30225.91089,0.0,0,0,-1.646616541,90.664,4.5351,0.038343883
2022-02-14,13340,30053.95971,0.0,0,0,-0.739051095,92.60666667,4.52525,0.030688474
2022-02-21,13358,28735.33906,0.0,0,0,-0.950092421,92.3,4.4851,0.032078087
2022-02-28,15652,27263.12409,0.0,0,0,3.58778626,106.616,4.6816,0.030567503
2022-03-07,15116,27179.40499,0.0,0,0,-2.489681051,113.43,4.6546,0.019254377
2022-03-14,13538,27221.56061,0.0,0,0,-5.738970588,100.434,4.6151,0.01866107
2022-03-21,11256,29208.14871,0.0,0,0,-6.596715328,113.01,4.7257,0.018941579
2022-03-28,11854,29814.16559,0.0,0,0,-3.879406308,103.514,4.7316,0.017333182
